Start Date,End Date,Heart Rate,Source,Device
2024-09-05T10:33:18Z,2024-09-05T10:33:18Z,155,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:21Z,2024-09-05T10:33:21Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:27Z,2024-09-05T10:33:27Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:29Z,2024-09-05T10:33:29Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:34Z,2024-09-05T10:33:34Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:49Z,2024-09-05T10:33:49Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:33:57Z,2024-09-05T10:33:57Z,159,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:03Z,2024-09-05T10:34:03Z,159,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:05Z,2024-09-05T10:34:05Z,159,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:13Z,2024-09-05T10:34:13Z,159,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:18Z,2024-09-05T10:34:18Z,159,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:23Z,2024-09-05T10:34:23Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:26Z,2024-09-05T10:34:26Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:30Z,2024-09-05T10:34:30Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:38Z,2024-09-05T10:34:38Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:40Z,2024-09-05T10:34:40Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:45Z,2024-09-05T10:34:45Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:49Z,2024-09-05T10:34:49Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:54Z,2024-09-05T10:34:54Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:34:59Z,2024-09-05T10:34:59Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:04Z,2024-09-05T10:35:04Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:09Z,2024-09-05T10:35:09Z,159,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:14Z,2024-09-05T10:35:14Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:23Z,2024-09-05T10:35:23Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:26Z,2024-09-05T10:35:26Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:29Z,2024-09-05T10:35:29Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:34Z,2024-09-05T10:35:34Z,155,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:42Z,2024-09-05T10:35:42Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:46Z,2024-09-05T10:35:46Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:53Z,2024-09-05T10:35:53Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:35:54Z,2024-09-05T10:35:54Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:00Z,2024-09-05T10:36:00Z,156,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:07Z,2024-09-05T10:36:07Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:09Z,2024-09-05T10:36:09Z,157,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:18Z,2024-09-05T10:36:18Z,158,马林康的Apple Watch,Apple Watch
2024-09-05T10:36:23Z,2024-09-05T10:36:23Z,159,马林康的Apple Watch,Apple Watch
