Start Date,End Date,Heart Rate,Source,Device
2024-09-10T10:27:26Z,2024-09-10T10:27:26Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:27:30Z,2024-09-10T10:27:30Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:27:34Z,2024-09-10T10:27:34Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:27:39Z,2024-09-10T10:27:39Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:27:44Z,2024-09-10T10:27:44Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:27:49Z,2024-09-10T10:27:49Z,168,马林康的Apple Watch,Apple Watch
2024-09-10T10:27:56Z,2024-09-10T10:27:56Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:03Z,2024-09-10T10:28:03Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:05Z,2024-09-10T10:28:05Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:12Z,2024-09-10T10:28:12Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:18Z,2024-09-10T10:28:18Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:20Z,2024-09-10T10:28:20Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:26Z,2024-09-10T10:28:26Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:32Z,2024-09-10T10:28:32Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:35Z,2024-09-10T10:28:35Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:39Z,2024-09-10T10:28:39Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:47Z,2024-09-10T10:28:47Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:53Z,2024-09-10T10:28:53Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:28:58Z,2024-09-10T10:28:58Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:03Z,2024-09-10T10:29:03Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:04Z,2024-09-10T10:29:04Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:09Z,2024-09-10T10:29:09Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:16Z,2024-09-10T10:29:16Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:22Z,2024-09-10T10:29:22Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:24Z,2024-09-10T10:29:24Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:29Z,2024-09-10T10:29:29Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:38Z,2024-09-10T10:29:38Z,160,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:42Z,2024-09-10T10:29:42Z,160,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:46Z,2024-09-10T10:29:46Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:51Z,2024-09-10T10:29:51Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:29:54Z,2024-09-10T10:29:54Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:03Z,2024-09-10T10:30:03Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:05Z,2024-09-10T10:30:05Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:13Z,2024-09-10T10:30:13Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:14Z,2024-09-10T10:30:14Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:23Z,2024-09-10T10:30:23Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:28Z,2024-09-10T10:30:28Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:31Z,2024-09-10T10:30:31Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:35Z,2024-09-10T10:30:35Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:41Z,2024-09-10T10:30:41Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:45Z,2024-09-10T10:30:45Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:52Z,2024-09-10T10:30:52Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:58Z,2024-09-10T10:30:58Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:30:59Z,2024-09-10T10:30:59Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:05Z,2024-09-10T10:31:05Z,164,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:09Z,2024-09-10T10:31:09Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:17Z,2024-09-10T10:31:17Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:23Z,2024-09-10T10:31:23Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:24Z,2024-09-10T10:31:24Z,166,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:30Z,2024-09-10T10:31:30Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:37Z,2024-09-10T10:31:37Z,167,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:42Z,2024-09-10T10:31:42Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:44Z,2024-09-10T10:31:44Z,165,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:53Z,2024-09-10T10:31:53Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:31:58Z,2024-09-10T10:31:58Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:00Z,2024-09-10T10:32:00Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:08Z,2024-09-10T10:32:08Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:12Z,2024-09-10T10:32:12Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:16Z,2024-09-10T10:32:16Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:23Z,2024-09-10T10:32:23Z,162,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:24Z,2024-09-10T10:32:24Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:30Z,2024-09-10T10:32:30Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:35Z,2024-09-10T10:32:35Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:43Z,2024-09-10T10:32:43Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:47Z,2024-09-10T10:32:47Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:49Z,2024-09-10T10:32:49Z,163,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:58Z,2024-09-10T10:32:58Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:32:59Z,2024-09-10T10:32:59Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:08Z,2024-09-10T10:33:08Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:11Z,2024-09-10T10:33:11Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:17Z,2024-09-10T10:33:17Z,161,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:23Z,2024-09-10T10:33:23Z,160,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:28Z,2024-09-10T10:33:28Z,158,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:29Z,2024-09-10T10:33:29Z,158,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:35Z,2024-09-10T10:33:35Z,157,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:42Z,2024-09-10T10:33:42Z,157,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:45Z,2024-09-10T10:33:45Z,157,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:53Z,2024-09-10T10:33:53Z,156,马林康的Apple Watch,Apple Watch
2024-09-10T10:33:58Z,2024-09-10T10:33:58Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:03Z,2024-09-10T10:34:03Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:07Z,2024-09-10T10:34:07Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:09Z,2024-09-10T10:34:09Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:16Z,2024-09-10T10:34:16Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:20Z,2024-09-10T10:34:20Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:28Z,2024-09-10T10:34:28Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:29Z,2024-09-10T10:34:29Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:34Z,2024-09-10T10:34:34Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:42Z,2024-09-10T10:34:42Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:47Z,2024-09-10T10:34:47Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:49Z,2024-09-10T10:34:49Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:34:58Z,2024-09-10T10:34:58Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:03Z,2024-09-10T10:35:03Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:06Z,2024-09-10T10:35:06Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:10Z,2024-09-10T10:35:10Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:14Z,2024-09-10T10:35:14Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:21Z,2024-09-10T10:35:21Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:28Z,2024-09-10T10:35:28Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:30Z,2024-09-10T10:35:30Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:34Z,2024-09-10T10:35:34Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:43Z,2024-09-10T10:35:43Z,150,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:48Z,2024-09-10T10:35:48Z,151,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:52Z,2024-09-10T10:35:52Z,152,马林康的Apple Watch,Apple Watch
2024-09-10T10:35:55Z,2024-09-10T10:35:55Z,153,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:03Z,2024-09-10T10:36:03Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:05Z,2024-09-10T10:36:05Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:13Z,2024-09-10T10:36:13Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:17Z,2024-09-10T10:36:17Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:20Z,2024-09-10T10:36:20Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:25Z,2024-09-10T10:36:25Z,154,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:33Z,2024-09-10T10:36:33Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:34Z,2024-09-10T10:36:34Z,155,马林康的Apple Watch,Apple Watch
2024-09-10T10:36:43Z,2024-09-10T10:36:43Z,153,马林康的Apple Watch,Apple Watch
